symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
SOLUSDT,4h,rsi_buy,2,6,8,1,7,0,0.1250,-4.60,-0.5750
SOLUSDT,4h,div_bull,2,6,7,2,4,1,0.3333,1.55,0.2583
SOLUSDT,4h,div_bear,2,6,1,0,1,0,0.0000,-1.07,-1.0750
SOLUSDT,4h,rsi_sell,3,3,12,5,6,1,0.4545,-1.55,-0.1409
SOLUSDT,4h,rsi_buy,3,3,8,5,3,0,0.6250,1.60,0.2000
SOLUSDT,4h,div_bull,3,3,7,3,3,1,0.5000,-0.30,-0.0500
SOLUSDT,4h,div_bear,3,3,1,1,0,0,1.0000,0.95,0.9500
SOLUSDT,4h,rsi_sell,3,6,12,4,6,2,0.4000,1.50,0.1500
SOLUSDT,4h,rsi_buy,3,6,8,1,7,0,0.1250,-5.40,-0.6750
SOLUSDT,4h,div_bull,3,6,7,2,4,1,0.3333,-0.30,-0.0500
SOLUSDT,4h,div_bear,3,6,1,0,1,0,0.0000,-1.05,-1.0500
SOLUSDT,4h,rsi_sell,3,9,12,4,6,2,0.4000,5.50,0.5500
SOLUSDT,4h,rsi_buy,3,9,8,0,7,1,0.0000,-7.35,-1.0500
SOLUSDT,4h,div_bull,3,9,7,1,4,2,0.2000,-1.25,-0.2500
SOLUSDT,4h,div_bear,3,9,1,0,1,0,0.0000,-1.05,-1.0500
SOLUSDT,1d,rsi_sell,1,1,10,1,9,0,0.1000,-9.50,-0.9500
SOLUSDT,1d,rsi_buy,1,1,6,0,6,0,0.0000,-6.90,-1.1500
SOLUSDT,1d,div_bull,1,1,6,0,6,0,0.0000,-6.90,-1.1500
SOLUSDT,1d,div_bear,1,1,3,0,3,0,0.0000,-3.45,-1.1500
SOLUSDT,1d,rsi_sell,1,2,10,1,9,0,0.1000,-8.50,-0.8500
SOLUSDT,1d,rsi_buy,1,2,6,0,6,0,0.0000,-6.90,-1.1500
SOLUSDT,1d,div_bull,1,2,6,0,6,0,0.0000,-6.90,-1.1500
SOLUSDT,1d,div_bear,1,2,3,0,3,0,0.0000,-3.45,-1.1500
SOLUSDT,1d,rsi_sell,1,3,10,1,9,0,0.1000,-7.50,-0.7500
SOLUSDT,1d,rsi_buy,1,3,6,0,6,0,0.0000,-6.90,-1.1500
SOLUSDT,1d,div_bull,1,3,6,0,6,0,0.0000,-6.90,-1.1500
SOLUSDT,1d,div_bear,1,3,3,0,3,0,0.0000,-3.45,-1.1500
SOLUSDT,1d,rsi_sell,2,2,10,3,7,0,0.3000,-4.75,-0.4750
SOLUSDT,1d,rsi_buy,2,2,6,3,3,0,0.5000,-0.45,-0.0750
SOLUSDT,1d,div_bull,2,2,6,0,6,0,0.0000,-6.45,-1.0750
SOLUSDT,1d,div_bear,2,2,3,2,1,0,0.6667,0.78,0.2583
SOLUSDT,1d,rsi_sell,2,4,10,2,8,0,0.2000,-4.75,-0.4750
SOLUSDT,1d,rsi_buy,2,4,6,3,3,0,0.5000,2.55,0.4250
SOLUSDT,1d,div_bull,2,4,6,0,6,0,0.0000,-6.45,-1.0750
SOLUSDT,1d,div_bear,2,4,3,1,2,0,0.3333,-0.22,-0.0750
SOLUSDT,1d,rsi_sell,2,6,10,1,9,0,0.1000,-6.75,-0.6750
